state;labour_force_population
Abia;1605290
Adamawa;1789609
Akwa Ibom;2534495
Anambra;2256435
Bauchi;2535661
Bayelsa;1033280
Benue;2641049
Borno;1130154
Cross River;1959675
Delta;2494452
Ebonyi;1337032
Edo;1985765
Ekiti;1218848
Enugu;2150839
Fct;1775089
Gombe;1330299
Imo;2484757
Jigawa;1979245
Kaduna;3363515
Kano;4512843
Katsina;2756710
Kebbi;1527375
Kogi;1878990
Kwara;1348737
Lagos;6831870
Nasarawa;1035259
Niger;2093381
Ogun;2229187
Ondo;2085659
Osun;1937531
Oyo;3174707
Plateau;1832185
Rivers;3921860
Sokoto;1557378
Taraba;1351313
Yobe;1115935
Zamfara;1495490
